客户,租约编号,表编号,表类型,建筑面积,单价,上次读数,本次读数,数量,金额（元）,帐单开始时间,帐单结束时间,付款公司
丰田通商（天津）有限公司,TJMT00001-3,NSE228685,ELECTRICITY_CHG,2542.64,1.1544,39511.3,40112.3,601,693.79,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228512,ELECTRICITY_CHG,2542.64,1.1544,22560.4,22956,395.6,456.68,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228510,ELECTRICITY_CHG,2542.64,1.1544,78.6,78.6,0,0,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228635,ELECTRICITY_CHG,2542.64,1.1544,203356.18,206112.9,2756.72,3182.36,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228636,ELECTRICITY_CHG,2542.64,1.1544,17948,18220.3,272.3,314.34,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228511,ELECTRICITY_CHG,2542.64,1.1544,141764,143688,1924,2221.07,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228602,ELECTRICITY_CHG,2542.64,1.1544,60425.6,61189.1,763.5,881.38,2/1/2019,2/28/2019,5252
丰田通商（天津）有限公司,TJMT00001-3,NSE228689,ELECTRICITY_CHG,2542.64,1.1544,99878.8,101323,1444.2,1667.18,2/1/2019,2/28/2019,5252
富士施乐（中国）有限公司,TJMT00002-3,NSE228601,ELECTRICITY_CHG,548.31,1.1544,35808.5,36345.1,536.6,619.45,2/1/2019,2/28/2019,5252
富士施乐（中国）有限公司,TJMT00002-3,NSE228686,ELECTRICITY_CHG,548.31,1.1544,91049.9,92372.4,1322.5,1526.69,2/1/2019,2/28/2019,5252
基恩士（中国）有限公司天津分公司,TJMT00007,NSE228506,ELECTRICITY_CHG,289.85,1.1544,60892.4,62027,1134.6,1309.78,2/1/2019,2/28/2019,5252
基恩士（中国）有限公司天津分公司,TJMT00007,NSE228504,ELECTRICITY_CHG,289.85,1.1544,21776.8,22378.9,602.1,695.06,2/1/2019,2/28/2019,5252
上海冲外电子有限公司天津分公司,TJMT00035,NSE228505,ELECTRICITY_CHG,151.53,1.1544,18240.9,18604,363.1,419.16,2/1/2019,2/28/2019,5252
小牛新财务管理有限公司,TJMT00012,NSE228687,ELECTRICITY_CHG,518.81,1.1544,22730.2,22989.1,258.9,298.87,2/1/2019,2/28/2019,5252
小牛新财务管理有限公司,TJMT00012,NSE228600,ELECTRICITY_CHG,518.81,1.1544,22229.2,22580.3,351.1,405.31,2/1/2019,2/28/2019,5252
北京腾新科技有限公司,TJMT00020,NSE228763,ELECTRICITY_CHG,1067.17,1.1544,24912.6,25562.5,649.9,750.24,2/1/2019,2/28/2019,5252
北京腾新科技有限公司,TJMT00020,NSE228556,ELECTRICITY_CHG,1067.17,1.1544,32392,33017.1,625.1,721.62,2/1/2019,2/28/2019,5252
北京腾新科技有限公司,TJMT00020,NSE228557,ELECTRICITY_CHG,1067.17,1.1544,46064.6,46923.7,859.1,991.75,2/1/2019,2/28/2019,5252
北京腾新科技有限公司,TJMT00020,NSE228762,ELECTRICITY_CHG,1067.17,1.1544,69223.5,70602.3,1378.8,1591.69,2/1/2019,2/28/2019,5252
北京腾新科技有限公司,TJMT00072,NSE228761,ELECTRICITY_CHG,391.73,1.1544,36488.7,38727.7,2239,2584.7,2/1/2019,2/28/2019,5252
